Labas laimes lasitajiem!
Sēr. Biļļet. Sēr. BiLet. Sēr. BiSet. Ģēr. Billet.
00.002 11 04,352 22 09,272 40 13.970 14
00,052 26 04,425 27 09,398 27 14,002 41
00.055 12 04.430 29 09,509 17 14,031 9
00,102 14 04.497 26 09,770 16 14,126 18
00.107 40 04.528 39 09.774 22 14.132 46
00.132 46 04,533 4 09,912 44 14.225 10
00.310 38 04.822 4 09.941 22 14,225 13
00.386 2 04.869 47 09.968 47 14.426 21
00,406 15 04.945 17 10,071 32 14.582 32
00.478 13 05.095 45 10.128 20 14.654 11
00.493 4 05.137 26 10.189 13 14.698 16
00.497 14 05,181 37 10.202 47 14,751 31
00.670 17 05,247 29 10,212 36 14.781 10
00,720 43 05,345 3 10,253 8 14,800 33
00,772 40 05,393 19 10,262 8 14.816 41
00.794 41 05,393 29 10,312 40 14,852 30
00,944 31 05,569 42 10,405 42 14.938 8
01.105 35 05,620 42 10.407 12 15,008 10
01,452 12 05.658 42 10,442 35 15,032 42
01,508 46 05.714 45 10.548 23 15.182 33
01.577 27 05.815 38 10,628 18 15.389 37
01,630 17 05,844 47 10.664 24 15,402 15
01.668 17 06.025 35 10.696 39 15.415 12
01,767 10 06.042 27 10.754 5 15.508 5
01.830 1 06.164 16 10.788 3' 15.583 3
01,851 7 06.178 19 11.059 30 15,716 50
01,868 43 06,194 36 11.093 8 16.147 47
01,962 20 06,387 47 11,194 48 16.183 24
02,054 5 06,581 16 11,235 18 16,218 42
02,058 44 06.683 30 11,323 2 16,262 13
02.090 10 06.697 29 11.484 23 16.303 4
02,224 11 06,712 12 11.661 20 16.494 34
02.428 2 06,755 6 11,661 22 16,508 48
02,539 21 06,806 50 11.696 16 16,592 18
02,564 41 06.811 16 11,699 47 16.596 39
02.761 27 06,827 24 11,747 30 16,755 15
02.799 10 06.941 37 11.862 7 16,851 8
02.908 30 07.000 21 11.873 17 17.146 19
02,924 26 07,063 2 11,894 25 17.136 6
02.975 43 07,086 43 11.907 47 17,253 50
03,014 26 07,131 10 12.043 17 17.373 6
03.036 46 07.175 24 12.056 1 17.385 18
03.064 7 07.278 8 12.118 2 17,488 39
03.089 46 07.302 23 12.224 18 17.496 50
03,122 24 07,334 5 12,329 40 17.576 1
03.159 46 07,371 14 12,364 4 17.615 4
03,249 30 07,426 37 12.397 28 17.688 40
03,262 17 07,473 40 12.452 1 17,724 18
03,266 29 07.497 3l 12,534 33 17,830 36
03.341 34 07.781 47 12.593 42 17.964 27
03,366 50 07,914 37 12.620 17 17.974 34
03,394 41 08.013 3 12.636 19 17,998 7
03,418 3 08.U8 3 12.698 46 18.142 44
03,516 28 08.148 17 12,700 44 18.222 12
03,556 24 08.263 3 12,719 24 18,330 15
03,638 28 08,282 28 12,798 12 18,418 41
03.761 8 08.358 30 12.827 33 18.673 4
03.762 35 08,401 37 13,036 4 18,813 41 03,766 33 08,469 25 13.182 50 18.890 31
Sēr. BiSet. Sēr. BNet. Aēr. BiSet. Ģēr. Biļļet.
03.771 20 08.648 38 13,215 38 19.011 22
03,885 31 08,709 3 13.218 35 19.181 3
03.920 C2B 08.825 26 13,280 9 19.357 35
04.209 31 08,881 44 13,399 12 19,443 15
04,226 50 09,257 20 13.438 34 19.504 49
04,343 12 09,264 22 13.907 18 19,999 46
