Labas laimes lasitajiem!
Pēterbņrga. 2 Icmman. 30. milķšana no pirmās 5 procentu malsts-aisien ešanas biļetēm tie lielaki miunesti uz šiem nummurienl iznāca:
200,000 rubļ. uz Nr. Nl62—l6.^,'^s^'
75,000 .. .. ~ 459—44.
40,000 ~ .. " 809—16. 25.000 12905— 8.
3 roinnesti pa 10.000 rubļ. uz: 1340—9, 9382—20, 13390—9.
5 tvinnesti pa 8000 rubļ. uz: 12984—7. 14881—19, 17368—6, 17671—39, 5922-27.
8 tvinnesti pa 5000 rubļ. uz: 16917—42, 3499-29. 2390—15, 19452—35,
9787—15, 17339-49. 17719—7. 13795—42.  YKt?HvHtcs&lt;
20 roinuesti pa 1000 rubļ. uz: 6078—1. 11264—20. 16964—29. 7466-17,
14042-33, 10443—49, 14518—22. 2353-30, 17475-45. 19500—26, 10369—28. 19277—48. 10901—31. 15454-2. 4573-15. 18223-24. 6609—46, 11011—42. 3333—11, 2643—35.
Miuuesti pa 500 rubļ.:
Sēr. Biļ. Tēr. Bit. Tēr. Biļ. Gēr. Bit. Tēr. Biļ
235 1 5996 13 3899 24 7654 35 6528 44
5049 1 6822 13 5997 24 8922 35 10302 44
8122 1 7255 13 1V660 24 10064 35 10458 44
9918 1 13961 13 2667 25 14574 35 12344 44
9942 1 1078 14 3817 25 14861 35 13896 44
11330 1 1975 14 6303 25 16529 35 13912 44
15362 1 5502 14 8647 25 1694, 35 14888 44
5615 2 13974 14 18607 25 17408 35 15561 44
10162 2 3056 15 5225 26 806 36 3898 45
11658 2 11093 15 6257 26 1326 36 7744 45
14112 2 11663 15 9182  s.C .ķ?s 536 8468 45
12390 3 12344 15 12116 26 10521 36 9417 45
5019 4 1530 16 1859? 26 14217 36 17960 45
7300 4 7205 16 18742 26 16151 36 19774 45
15194 4 7543 16 19354 26 17235 36 1599 46
6930 5 9065 16 10002 27 18857 36 2104 46
9616 5 10615 16 2268 28 324 37 2583 46
10793 5 10759 16 3352 28 1060 37 6580 46
2138 6 6126 17 5449 28 2504 37 6676 46
3789 6 11614 17 12048 28 6246 37 12137 46
7026 6 5027 18 17827 28 8155 37 15816 46
9074 6 9974 18 637 29 10235 37 15859 46
16220 6 11950 18 12065 29 15756 37 17138 46
16878 6 14696 16 15489 29 39)4 36 17366 46
189!&gt;3 6 15790 18 197 l 30 6428 38  47
19231 6 1922 19 2301 30 16072 38 5907 47
1925 7 4631 19 6347 30 17368 3d  47
3299 7 18684 19 6866 30 106 39 13696 47
4082 7 2457 20 7029 30 471 39 14365 47
4657 7 5637 20 8651 30 6455 39 14465 47
5229 7 6313 20 IIOV 3N 7091 39 2235 48
9986 7 6070 20 11692 30 8369 39 3058 48
15662 7 12070 20 13689 30 13060 39 3214 48
16235 7 14181 20 17896 30 14251 39 4247 48
18903 7 14663 20 9400 31 14276 39 4746 48
1039 6 17340 20 14546 31 14485 39 7403 48
4127 8 1483 21 16036 31 15719 39 10124 48
12335 8 11444 21 16413 31 4595 40 12127 48
14309 8 14269 21 18872 31 18916 40 14347 48
6 645 8 16918 21 1495 32 9685 41 16214 48
5302 9 1921 22 2530 32 15289 41 18650 48
6004 9 3993 22 9026 32 3868 42 2622 49
18590 9 5812 22 15204 32 10821 42 3654 49
8682 v 6199 22 2387 33 13133 42 5029 49
11603 10 6852 22 5684 33 15091 42 15084 49
17686 10 13005 22 9255 33 18607 42 16002 49
9853 11 1419 23 13667 33 6187 43 19390 49
9932 11 3974 23 14370 33 13733 43 1932 50
2733 12 10517 23 8171 34 K414 43 3428 50
4123 12 11729 23 10173 34 1227 44 7520 50
4386 12 18210 23 18547 34 3405 44 9805 5..
14073 12 2047 24 1965 L 5 5644 44 17702 5"
0
Jsmaksajamo un izdzēšamo biļetu nummuri:
552 3446 5353 7302 9884 11466 14193 17040
1106 3479 5517 7996 10144 11680 14449 17146
1341 3959 5738 8184 10559 11980 14453 17172
1385 4357 6162 8304 10708 12584 14546 17774
1999 4429 6444 8977 10722 12734 15061 17926
2256 4672 6560 8985 10863 13506 15696 18407
3034 5159 6565 S4Bs N134 13698 16600 18983
3320 5194 6729 9779 11329 13932 16882 19706
