Labas laimes lasitajiem!
Pēterburga, 3. lanmarļ. Žodien izlosejot pirmo 5-proc. Vrēmiju-aislieņu Minnesti krita uz šādiem nummuriem: 200,000 rubļ. uz Nr. 14471 — 29. 75,000 " " " 14027—48. 40,000 , " " 17008—25. 25,000 " n " 8695— 3.
3 Minnesti, katrs 10,000 rubļ.. uz Nr. 15447—17, 19520—11,
6664—20.
5 roinnesti. katrs 8000 rubļ.. uz Nr. 9709—18, 15770—44, 9985 — 15, 17418—32, 3841—16.
8 minnesti, katrs 5000 rubļ., uz Nr. 1132—13, 19190—15. 9433—29, 10404—10, 12164—50, 15455—14. 52—24, 8948—7,
20 Minnesti, katrs 1000 rubļ., uz Nr. 4814—21. 13178—4. 16751—36, 12634—34, 10784—10, 16465—40, 2280—1, 4719— 44, 3254—12, 15665—37, 2929—10, 19526—49, 10681—8, 6687 —43, 12138—5, 9401 — 11, 5683—26, 786—39, 16063—35, 11299
—46.
Minnesti ā, 500 rubļ.
jēr. biļ. jēr. biļ. Ш- biļ. biļ. ichr. biļ.
235 36 4856 4 9494 17 13394 20 16385 46
495 21 4960 24 9650 28 13567 24 16469 8
742 37 5163 8 9682 30 13629 39 16477 37
749 10 5288 35 9920 50 13726 8 16621 16
1000 42 5413 10 10003 14 13835 45 16830 42
1150 7 5594 11 10011 31 13841 44 17001 21
1175 31 5756 50 10096 17 14009 24 17118 26
1225 27 5803 23 10148 46 14236 18 17297 15
1419 40 5948 2 10148 49 14257 6 17344 40
1466 23 6073 17 10222 12 14262 29 17348 44
1540 28 6122 48 10267 40 14274 33 17373 2
1554 33 6184 27 10288 34 14288 23 17419 37
1880 14 6202 9 10317 36 14368 9 17530 44
1933 16 6216 20 10420 48 14403 38 17537 48
2012 38 6265 44 10517 26 14434 32 N586 23
 14 6351 33 10735 23 14435 47 17748 28
2175 41 6368 47 10736 4 14518 31 17811 32
2219 18 6484 2 10866 41 14553 46 17830 6
2283 47 6489 3 10884 33 " 14602 33 17844 23
2330 44 6597 29 10972 45 14623 8 17879 27
2754 46 6765 26 10981 11 14671 46 17905 6
2757 47 6875 43 10983 20 14690 29 18017 44
2760 5 7150 9 11174 43 14855 32 18127 50
2816 10 7188 48 11217 26 14865 19 18182 8
3007 27 7415 19 11403 40 14932 7 18229 40
3053 23 7417 44 11458 3 15083 11 18441 16
3171 16 7476 23 11463 27 15094 11 18468 17
3244 38 7484 34 11487 1 15099 24 18471 20
3275 31 7802 27 11599 26 15249 21 18498 20
3352 8 7818 7 11624 32 15259 12 18509 28
3433 18 8096 32 11693 34 15288 42 J8539 7
3441 39 8256 35 11941 27 15292 38 18806 35
3504 48 8337 3 11972 9 15303 2 8890 30
3546 9 8373 12 12311 26 15330 33 18893 20
3589 22 8379 15 12450 45 15335 21 18949 37
3766 49 8426 25 12586 31 15381 35 9120 32
3796 19 8442 32 12649 8 15428 27 19221 46
3853 1 8461 37 12759 46 15625 40 19237 27
3881 8 8471 37 12804 25 15664 22 19254 45
3911 34 8533 35 12859 33 15710 37 19297 22
3991 43 8638 16 12870 42 15736 26 J9402 35
3997 14 8674 46 12949 5 15737 48 }9403 46
4081 39 8750 5 12990 22 15799 41 J9460 49
4087 10 8756 14 13015 40 15828 6 J9464 19
4090 39 8797 22 13063 41 15832 19 19490 50
4262 15 8856 50 13067 10 15929 34 J9493 19
4409 40 8877 34 13131 50 16001 40 19498 24
4495 27 8910 28 13190 17 16014 13 19615 49
4530 41 8923 28 13287 12 16159 14 ļ9809 16
4568 45 9004 9 13308 10 16269 9 J9892 7
4699 15 9008 7 13309 20 16323 34 9913 32
4787 35 9051 -25 13331 47 16343 39 19933 10
Amortisieretas tapa šādas 72 sērijas:
217 347. 544. 672. 709. 713. 917, 919, 1013. 1061. 1087. 4534, 5211 5479, 5636, 6033. 6203. 1220. 1560. 1915, 1932. 2398. 2794' 2857. 4104, 4081, 4503. 6430, 6635, 6764. 6815, 6972. 7713' 8139. 8549. 8757. 8806. 8879, 8939, 9233. 9432. 9469, 9473' 9625, 9968. 10.268, 10.390. 10.930, 11.087. 11.877. 11.992, 12 059 12.381. 12.697. 13.181. 13.245. 13.861. 13.913. 14.048. 14 310. 14.842. 14.946, 15.863, 15.932, 16,221, 17,673, 17.755, 18,036, 81,930, 19,572, 19,680, 19,796.
